key,value,timestamp,sentence
E - Very Happy,0.0222,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
A - Very Sad,0.0245,"00:01:50,152 --> 00:01:51,778","Please confirm link."
B - Sad,0.1865,"00:01:50,152 --> 00:01:51,778","Please confirm link."
C - Neutral,0.6973,"00:01:50,152 --> 00:01:51,778","Please confirm link."
D - Happy,0.0818,"00:01:50,152 --> 00:01:51,778","Please confirm link."
E - Very Happy,0.0098,"00:01:50,152 --> 00:01:51,778","Please confirm link."
A - Very Sad,0.2611,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
B - Sad,0.5718,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
C - Neutral,0.1408,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
D - Happy,0.0131,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
E - Very Happy,0.0132,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
A - Very Sad,0.2041,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
B - Sad,0.5700,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
C - Neutral,0.1934,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
D - Happy,0.0200,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
E - Very Happy,0.0125,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
A - Very Sad,0.0208,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
B - Sad,0.1131,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
C - Neutral,0.5168,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
D - Happy,0.3098,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
E - Very Happy,0.0395,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
A - Very Sad,0.2305,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
B - Sad,0.5933,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
C - Neutral,0.1432,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
D - Happy,0.0202,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
E - Very Happy,0.0127,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
